KGAS_ID,RMS,minchan,maxchan,minchan_v,maxchan_v,Detected_10kms,Detected_30kms
230,0.001113318,183,215,7563,7895,TRUE,TRUE
231,0.00111633,130,156,7013,7283,TRUE,TRUE
232,0.001114554,45,81,6130,6504,TRUE,TRUE
233,0.001084135,19,96,5860,6660,FALSE,FALSE
234,0.001127482,113,182,6837,7553,TRUE,TRUE
235,0.001104495,91,173,6609,7460,FALSE,FALSE
236,0.001101172,70,150,6390,7221,FALSE,FALSE
237,0.00110017,185,220,7584,7948,TRUE,TRUE
238,0.001078686,138,175,7096,7480,TRUE,TRUE
239,0.001064318,159,206,7314,7802,TRUE,TRUE
240,0.001098659,103,140,6732,7116,TRUE,TRUE
241,0.001081942,37,83,6047,6525,TRUE,TRUE
242,0.001085911,37,121,14940,15863,FALSE,FALSE
243,0.001072529,79,163,15401,16324,FALSE,FALSE
244,0.001068867,109,140,15731,16071,TRUE,TRUE
245,0.001064402,26,83,14819,15446,TRUE,TRUE
246,0.001060828,95,137,15577,16038,TRUE,TRUE
247,0.001055092,109,174,15731,16445,TRUE,TRUE
248,0.001070649,98,165,15610,16346,TRUE,TRUE
249,0.001069203,82,166,15434,16357,FALSE,FALSE
250,0.001064877,97,179,15599,16500,FALSE,FALSE
251,0.00105065,129,176,15951,16467,TRUE,TRUE
252,0.001391097,102,132,10886,11206,TRUE,TRUE
253,0.001326948,49,62,10320,10459,TRUE,TRUE
254,0.001406166,40,70,10224,10544,TRUE,TRUE
255,9.83E-04,104,128,10907,11159,FALSE,TRUE
256,0.001394852,39,118,10215,11058,FALSE,FALSE
257,0.001401058,10,79,9906,10642,FALSE,FALSE
258,0.001385104,31,81,10129,10662,TRUE,TRUE
259,0.001440222,183,215,11750,12091,TRUE,TRUE
260,0.001375942,187,231,11793,12262,TRUE,TRUE
261,0.001608951,57,121,16031,16738,TRUE,TRUE
262,0.001578606,134,166,16883,17230,FALSE,TRUE
263,0.001577542,0,77,15401,16252,FALSE,FALSE
264,0.001612706,66,114,16130,16661,TRUE,TRUE
265,0.001581971,67,108,16141,16594,TRUE,TRUE
266,0.001576946,37,72,15810,16197,TRUE,TRUE
267,0.001602652,32,112,15755,16639,FALSE,FALSE
268,0.001577557,101,140,16518,16949,TRUE,TRUE
269,0.001615201,32,112,15755,16639,FALSE,FALSE
270,0.001598976,56,134,16020,16882,FALSE,FALSE
271,0.001192052,104,146,12535,12988,TRUE,TRUE
272,0.001197695,145,181,12977,13365,TRUE,TRUE
273,0.001210444,143,187,12956,13430,TRUE,TRUE
274,0.001172252,135,170,12869,13246,TRUE,TRUE
275,0.001197822,136,148,12880,13010,TRUE,TRUE
276,0.00116152,78,159,12255,13128,FALSE,FALSE
277,0.001161862,65,102,12115,12514,TRUE,TRUE
278,0.001159591,100,132,12492,12837,TRUE,TRUE
279,0.001182247,125,159,12762,13128,TRUE,TRUE
280,0.001169741,108,184,12579,13398,FALSE,FALSE
281,0.001020425,82,169,12602,13541,FALSE,FALSE
282,0.001021809,100,140,12795,13227,TRUE,TRUE
283,0.001029044,94,130,12731,13120,TRUE,TRUE
284,0.001016507,128,185,13098,13714,TRUE,TRUE
285,0.001037254,77,140,12548,13228,TRUE,TRUE
286,0.001032532,79,123,12569,13044,TRUE,TRUE
287,0.001035956,100,125,12795,13065,TRUE,TRUE
288,0.001024292,94,133,12730,13149,FALSE,TRUE
289,0.001028394,83,123,12612,13044,TRUE,TRUE
290,0.001034148,83,123,12612,13044,TRUE,TRUE
291,0.001342136,84,121,10896,11291,TRUE,TRUE
292,0.001354777,6,69,10064,10737,FALSE,FALSE
293,0.001317784,16,90,10170,10960,FALSE,FALSE
294,0.001361773,1,94,10010,11004,FALSE,FALSE
295,0.001342212,108,140,11152,11494,TRUE,TRUE
296,0.001367938,3,50,10032,10534,FALSE,FALSE
297,0.001322889,47,128,10500,11365,FALSE,FALSE
298,0.001360006,81,163,10865,11740,FALSE,FALSE
299,0.001346183,109,132,11164,11409,FALSE,FALSE
300,0.001318075,4,36,10042,10383,TRUE,TRUE
301,0.001039575,88,120,15413,15765,TRUE,TRUE
302,0.001036411,75,100,15270,15545,TRUE,TRUE
303,0.001040985,83,164,15358,16248,FALSE,FALSE
304,0.001036715,9,86,14546,15392,FALSE,FALSE
305,0.00104879,30,90,14776,15435,TRUE,TRUE
306,0.001049581,62,94,15127,15479,TRUE,TRUE
307,0.001043461,65,147,15160,16061,FALSE,FALSE
308,0.001034435,23,67,14699,15182,TRUE,TRUE
